#full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,rot_per
"       (2013 JU17)",2.266296314027387,.54354706604619,1.327629563855928,209.5722213303578,10.61855188946344,1.034457601746506,3.498135026308268,3.41179745509308,6,8,25,,,26.0,
"       (2013 JV17)",1.187104500360802,.2594494305865518,10.4872272507603,227.9892699935762,288.0359206905993,.879110913695459,1.495098087026145,1.29342612702985,2,7,13,,,27.7,
"       (2013 JW17)",2.597949178294224,.5792894218220355,17.24767644166259,230.5731220296281,11.21294179525527,1.092984700877131,4.102913655711317,4.18749381740367,24,8,32,,,24.5,
"       (2013 JH22)",1.564874005225031,.3371960460510993,3.934006053434098,206.1307861067943,328.9442073515538,1.037204678095003,2.092543332355059,1.95761492210782,3,9,9,,,24.8,
"       (2013 JJ22)",1.481988702089656,.6651942809694669,7.158259869484581,182.2253374257376,179.1797628183222,.4961782929982539,2.467799111181058,1.80416204238531,2,9,11,,,21.8,
"       (2013 JK22)",1.33835558393848,.1908681308592574,16.00115639072566,225.6193047813073,111.1620613485889,1.082906155207092,1.593805012669867,1.54833693958004,2149,1,140,,,20.3,
"       (2013 JL22)",1.186978591625323,.5944343100567897,3.064061371440825,38.02186473783672,68.99451872197018,.4813977914603442,1.892559391790302,1.29322035408011,5067,0,97,,,21.3,
"       (2013 JM22)",2.265704272397662,.8431350112762389,9.015857944294421,62.24111236955014,287.6263657203561,.3554096751410365,4.175998869654286,3.41046060814996,4,8,74,,,23.3,
"       (2013 JN22)",1.870235130787495,.7886784265433521,14.44332697289646,66.46372901489171,2.326312680666091,.3952210305719132,3.345249231003077,2.55771716550331,1812,2,84,,,19.2,
"       (2013 JQ22)",1.70318768770607,.5414141798383391,12.77959230531113,189.6774840643295,324.5263540714818,.7810577226559309,2.625317652756209,2.22280807425786,494,3,106,,,20.1,
"       (2013 JR22)",1.962992323845091,.7234171225486528,6.981464830946426,303.5389820559895,172.1195888184346,.542930065343982,3.383054582346199,2.75033822138243,883,1,55,,,21.0,
"       (2013 JT22)",1.538247994109196,.4586019434050437,5.159416778691832,183.282821552066,162.9292642851722,.8328044745718087,2.243691513646584,1.90786542840707,1002,1,80,,,20.3,
"       (2013 JU22)",1.967499358735766,.4836933772400865,2.327538128805375,78.88356477201376,198.8933807706242,1.015832949191159,2.919165768280373,2.75981583066078,19,8,24,,,25.1,
"       (2013 JR28)",2.200931387810574,.6548249181234936,6.554590690530485,103.577787932782,230.5143811930141,.7597066719920877,3.642156103629061,3.2652614291727,37,2,304,3,4,21.6,
"       (2013 JT28)",1.764676686115691,.422920029621413,.9027360190224898,200.2814942414998,3.732978810689619,1.018359569751426,2.510993802479956,2.34426079411032,8,8,13,,,26.7,
"       (2013 JW28)",1.964327383726642,.4881759961058721,2.197809004133536,196.9359727642523,342.4742514597164,1.005389906497847,2.923264860955437,2.75314451646614,5,9,16,,,24.8,
"       (2013 JX28)",.6008545586940642,.5641310643251591,10.76185912434431,39.95507273368275,354.8873009992952,.261893836993358,.9398152803947705,0.465760058931151,4750,2,52,0,1,20.1,
"       (2013 JZ28)",2.142144217246873,.4183772639700459,6.996003141575629,108.6657512742754,231.2461262831123,1.245919780605871,3.038368653887876,3.13531558320664,30,6,31,,,19.8,
"       (2013 JE29)",1.60868852038223,.5000032575825575,1.751512983973009,45.25341910284406,271.3346097231272,.8043390197554506,2.413038021009009,2.0404039063234,11,8,27,,,23.5,
"       (2013 JG29)",1.842835901745912,.5984519945897345,8.933698339256331,104.889571180713,28.37594083457815,.7399870806444988,2.945684722847325,2.50171711099393,1859,1,45,,,20.7,
"       (2013 JD34)",2.826963266872122,.7598246426310654,7.363380270691128,229.0533900816974,281.3626609597428,.6789669128898627,4.97495962085438,4.75322584987101,6,8,19,,,25.0,
"       (2013 JE34)",1.634899657391071,.3155071915586105,25.51720275099106,232.5226682785814,323.6113243195923,1.11907705800748,2.150722256774663,2.09047441422354,2,8,16,,,23.1,
"       (2013 JZ35)",1.999510863074289,.7713786918588936,46.64027582849207,228.7476391907202,229.4226990480959,.4571307891583965,3.541890936990181,2.82744297182196,14,8,38,,,19.9,
"       (2013 JA36)",2.666996062882736,.9484240815644867,42.50614751797151,56.30541745824561,31.46443574015548,.1375527714070752,5.196439354358396,4.35553756887364,14,8,47,,,21.0,
"       (2013 JB36)",1.61079175699684,.3390592288531641,34.13830288044728,72.56759833951659,166.2087182768191,1.064637946026458,2.156945567967222,2.04440672091162,709,1,244,2,1,20.5,
"       (2013 KA)",1.449164465985011,.3003620971705357,4.997744749449375,234.6676387789789,354.8966821621021,1.013890387836733,1.884438544133288,1.7445552051474,1,7,21,,,27.9,
"       (2013 KB)",1.916999170372429,.4697152090697234,3.00375961405185,55.11793345514045,191.8180901424404,1.016555504274457,2.8174428364704,2.65424549954388,1,8,15,,,27.2,
"       (2013 KP1)",1.201362587929547,.1421963432397263,18.48857661617549,54.76806149437033,112.2771267036876,1.030533221020951,1.372191954838142,1.31679860327144,8,8,27,,,25.0,
"       (2013 KQ1)",1.721756088066159,.4039883257693039,2.240714949460638,224.5494874855191,8.877749844223686,1.026186728665205,2.417325447467114,2.25925703470109,3,7,30,,,26.9,
"       (2013 KR1)",2.33834461329463,.5265386598571788,4.712686213157561,56.47814457984542,247.0906970716249,1.107115774326222,3.569573452263037,3.57578152133048,143,4,118,,,21.2,
"       (2013 KS1)",1.48612351718227,.3898552302007934,1.798899133019964,231.3969906251545,62.64609492243732,.9067504912843632,2.065496543080176,1.81171784631529,4,8,24,,,26.8,
"       (2013 KT1)",.9231910892080446,.1638656668863768,8.108125722648717,58.84782915176184,317.351488785566,.7719117657114078,1.074470412704681,0.887044910003246,2,5,108,,,26.6,
"       (2013 KZ1)",1.562692204655743,.5065295656525959,29.19595702343806,236.0446305848407,104.6918644413171,.7711424009827719,2.354242008328713,1.95352228948622,737,1,88,,,21.5,
"       (2013 KA2)",1.147364252907759,.536608645876046,35.85021194374723,56.54553778995943,326.0399819965469,.5316786748283451,1.763049830987172,1.22902346500323,21,7,20,,,21.0,
"       (2013 KB2)",1.334049249504864,.2107062342228014,3.403018069953569,229.7116537804281,355.6053955365925,1.05295675587394,1.615141743135788,1.54086998868537,56,6,65,,,24.1,
"       (2013 KY5)",1.834957090441783,.6543588804058723,19.95531005077886,99.44546960324067,7.827637606172331,.6342366231474809,3.035677557736085,2.48569060979914,1818,1,43,,,19.5,
"       (2013 KF6)",2.181728116183031,.4836239198568648,9.920576562573087,116.5626341760425,189.0223995475658,1.12659221257266,3.236864019793402,3.22262034812335,1021,1,58,,,21.3,
"       (2013 KG6)",1.767454429623529,.5217372729068231,3.825367654008018,67.06617320229468,114.7770661928199,.8453075755246643,2.689601283722394,2.34979805520291,2,9,14,,,25.4,
"       (2013 KH6)",.9226306946230486,.1607553943948216,15.55376080095485,246.3056869824363,195.4333182018122,.7743128334281522,1.070948555817945,0.886237352836862,73,3,76,,,23.2,
"       (2013 KJ6)",.8239022158930118,.2441759966991497,20.41435945212062,212.2476894465368,235.6793821113891,.6227250711446977,1.025079360641326,0.747862416705779,2221,0,187,,,19.9,
"       (2013 KK6)",2.233898413337493,.6842588217977933,3.845924755293642,113.0608793263342,218.2341808049352,.7053337170112201,3.762463109663765,3.33889938202324,6,9,28,,,23.4,
"       (2013 KL6)",2.106972001335653,.5350313533780182,7.137735109259372,81.1973018773879,223.3831470996593,.9796759199314471,3.23426808273986,3.05841453510025,20,7,56,,,24.2,
"       (2013 KM6)",2.884525126510499,.6091832208058418,20.95000381240332,241.0916251353227,355.7529576388446,1.127320819447455,4.641729433573542,4.89913821291384,89,4,63,,,22.0,
"       (2013 LA)",1.42613227633246,.2717405565528209,18.34576986314872,69.4393363780556,212.4304556693307,1.038594297843936,1.813670254820984,1.70313045797545,8,8,31,,,24.6,
"       (2013 LB)",1.116581479716743,.3425330692013441,2.167573475185349,17.24167999437935,109.2274980495476,.7341153984559889,1.499047560977498,1.17989628148394,1956,2,61,,,22.8,
"       (2013 LC1)",.9680853381138107,.3259366689204065,5.318872581666083,79.99502220916054,47.30176746299863,.6525508277783099,1.283619848449312,0.952530007858171,424,3,51,,,23.9,
"       (2013 LD1)",2.598309171336516,.551065612394091,6.461488070874124,69.85136372395053,198.4030080924556,1.166470336644776,4.030148006028256,4.18836422753645,69,5,49,,,22.3,
"       (2013 LE1)",1.18625967923128,.4502912359732628,8.957486317054933,66.1487535584201,304.1117358764316,.6520973420849807,1.720422016377579,1.29204564289399,12,8,54,,,22.6,
"       (2013 LF1)",2.114520265604332,.4478551538206583,6.727745547511403,65.08635281530306,235.4973684092926,1.167521466795205,3.06151906441346,3.07486448203433,90,5,57,,,22.1,
"       (2013 LB2)",2.18863098194007,.520809569899388,11.52901773830267,248.2832633815089,24.15617626929855,1.048771021567387,3.328490942312754,3.23792672517594,35,3,119,3,2,22.7,
"       (2013 LC2)",1.899424653199788,.4333045270636932,9.383763315112548,94.53306526148926,155.0127926871475,1.076395352151935,2.722453954247642,2.61782920263469,41,7,83,,,22.2,
"       (2013 LD2)",1.953963102381934,.4736461754935489,1.678414252698489,60.8990113046435,200.0094520901921,1.028475951883221,2.879450252880646,2.73138386738826,13,7,97,,,24.8,
"       (2013 LQ6)",1.859567808317876,.4654092044625777,3.336383076236416,246.8532371917091,315.9304301544196,.994107834004434,2.725027782631318,2.53586559364294,8,8,24,,,24.8,
"       (2013 LR6)",2.014709512541137,.5218919015995357,2.525020235960667,76.37725063055117,213.487421897773,.9632489338703696,3.066170091211905,2.85974202625489,1,6,61,,,27.8,
"       (2013 LC7)",1.506057491759229,.7960390923484181,40.18980473335373,93.65412040291383,298.9520349392757,.3071768529946772,2.704938130523781,1.84829176470568,1801,2,75,1,1,19.4,
"       (2013 LD7)",1.18186070041717,.2284550190717611,13.01869946668303,246.5881974667957,285.8733451161659,.9118586915632007,1.45186270927114,1.28486541614922,1,9,14,,,25.3,
"       (2013 LE7)",1.164195120279649,.1057747230002087,1.66720978448645,202.1820436096478,39.52368199087422,1.041052703913874,1.287337536645424,1.25616550763672,1880,0,70,,,27.5,
"       (2013 LF7)",2.434785281341118,.5890478091442803,5.379892676614696,127.9842993124349,186.1026356219736,1.000580345630392,3.868990217051844,3.79926164976013,153,5,65,,,22.0,
"       (2013 LK7)",1.120523180987404,.347318878521921,21.53227236486386,92.19440533110905,33.53862971316113,.7313443264090432,1.509702035565764,1.18614961030532,2188,1,128,,,20.5,
"       (2013 LE16)",2.566335419374532,.6073898605242766,32.82832541013126,81.79349776134826,198.1267985952302,1.007569306942124,4.125101531806941,4.1112920566714,1452,1,152,,,18.5,
"       (2013 LF16)",2.053328256149081,.5935795305478402,9.097653049871898,169.3496252528394,175.9671365317674,.8345146338034941,3.272141878494667,2.94235979494236,37,7,65,,,21.9,
"       (2013 LG16)",1.600293427791866,.4080665040737206,11.15247414510484,232.8299869399812,209.4775530941357,.9472672832206881,2.253319572363043,2.02445270240545,2208,2,75,,,19.2,
"       (2013 LH16)",2.927754308262247,.7939911916470916,7.948057108918782,161.0408327332715,205.349028608801,.6031431761951991,5.252365440329296,5.0096818425958,2060,0,175,,,18.9,
"       (2013 LH25)",4.466434842389596,.8311620741427426,29.44339790769357,129.8292368644237,356.8437215631395,.7541035947656458,8.178766090013546,9.43951555379139,86,5,79,,,17.3,
"       (2013 LK25)",1.40979447809947,.2163017655808049,18.10422238112483,92.90852333835112,202.958715898301,1.104853443380485,1.714735512818454,1.67394779657469,1808,0,81,,,21.6,
"       (2013 LL25)",2.38286290149915,.6852045029897257,10.74947634912245,258.2093525634205,75.4306046045894,.7501145113847694,4.01561129161353,3.6783816383412,3,7,33,0,1,22.7,
"       (2013 LT28)",1.749814906943032,.6186398973481612,22.92828715435408,262.9046837851333,273.4118469157701,.6673095925335126,2.832320221352552,2.31470884037167,62,6,33,,,22.5,
"       (2013 LV28)",1.484802573567163,.6884914969889783,24.04154207817566,139.0868964984499,24.32867084911721,.4625286269588194,2.507076520175506,1.80930286005739,818,2,92,,,18.8,
"       (2013 LW28)",1.677471173403511,.5866899947202379,30.65582862188698,136.3155734738729,237.3806759707157,.6933156195360538,2.661626727270968,2.17265515774794,2119,1,111,,,18.8,
"       (2013 LX28)",1.001619872001327,.4520330373888052,49.98127009944064,76.6726281043245,345.7773994351803,.5488545989515808,1.454385145051073,1.00244972422851,1822,1,35,,,21.8,
"       (2013 LY28)",2.020625665430901,.6592612147921882,15.41740603207077,262.6761111056466,82.8245555142867,.6885055345986516,3.352745796263152,2.87234762910281,5,8,29,,,24.5,
"       (2013 LZ28)",2.110536328153087,.6319324101151571,10.0630091750179,122.3516717730012,61.17646649202397,.7768200196677127,3.444252636638462,3.06617861405588,32,6,87,,,22.9,
"       (2013 LH29)",1.497781654253499,.3006491275274772,13.93950027181245,91.30586194428817,209.1645526833405,1.047474906675523,1.948088401831475,1.83307807279186,15,8,35,,,24.6,
"       (2013 LK31)",2.201877092946551,.7800587029977473,14.92404702770538,207.9459862099255,172.8487514860199,.4842837036622141,3.919470482230887,3.26736620141406,30,7,135,,,19.2,
"       (2013 LL31)",1.374039028223509,.1505556801690434,17.7303619807684,208.1272445407023,276.3656120703294,1.167169647750507,1.580908408696511,1.61067087336536,5776,0,173,,,20.4,
"       (2013 LM31)",2.265456091890822,.6548942747038518,1.749619259032108,103.1755742999854,251.1495177555862,.7818218677185598,3.749090316063085,3.40990026141339,218,5,121,,,20.2,
"       (2013 LN31)",2.255770496982714,.8019435700131545,23.19734293596331,100.8611397361268,278.7351400795302,.4467698515020485,4.064771142463379,3.38805592692353,1345,0,196,,,20.0,
"       (2013 MQ)",2.233367749650922,.5107303952692341,4.420523628113465,105.3251826895492,168.0451435711961,1.092718956090146,3.374016543211697,3.33770971685172,51,6,36,,,23.8,
