ILDIALCT,ilab_v1,FITS/CSV file dialect
319.000,5.681811e-01,5.657120e-01
319.200,5.640928e-01,5.670859e-01
319.400,5.635697e-01,5.686701e-01
319.600,5.700937e-01,5.705691e-01
319.800,5.741851e-01,5.727814e-01
320.000,5.760094e-01,5.751967e-01
320.200,5.822994e-01,5.776394e-01
320.400,5.871891e-01,5.799243e-01
320.600,5.810783e-01,5.819368e-01
320.800,5.849783e-01,5.836699e-01
321.000,5.842123e-01,5.852229e-01
321.200,5.849954e-01,5.867479e-01
321.400,5.896317e-01,5.883959e-01
321.600,5.897034e-01,5.902598e-01
321.800,5.914308e-01,5.923397e-01
322.000,5.995934e-01,5.945549e-01
322.200,5.942171e-01,5.967820e-01
322.400,6.065713e-01,5.989067e-01
322.600,6.017598e-01,6.008483e-01
322.800,5.995145e-01,6.025824e-01
323.000,6.070089e-01,6.041363e-01
323.200,6.071966e-01,6.055605e-01
