    190 Ismene            -          P      7G  -  -  -   -  -      -   -   -   X   s   -   -   -   -  -                     
    191 Kolga             -          XC:    2   -  -  -   -  -      -   -   -   Cb  s   X   X   Cb  a  -                     
    192 Nausikaa          -          S      7G  V0 7I -   -  -      -   -   -   Sl  s   -   -   Sw  a  -                     
    193 Ambrosia          -          -      -   -  -  -   -  -      -   -   -   Sk  s   -   -   -   -  -                     
    194 Prokne            -          C      7G  C0 7I C   2I -      -   -   -   C   s   Caa Ch  -   -  -                     
    195 Eurykleia         -          C      7   C0 7I C   2I -      -   -   -   Ch  s   -   -   -   -  -                     
    196 Philomela         -          S      7G  S0 7I S   2I -      -   -   -   S   s   -   -   -   -  -                     
    197 Arete             -          S      2   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
    198 Ampella           -          S      7   S0 7I S   2I -      -   -   -   S   s   -   -   -   -  -                     
    199 Byblis            -          -      -   -  -  -   -  -      -   -   -   X   s   X   X   D   a  -                     
    200 Dynamene          -          C      7G  C0 7I C   2I -      -   -   -   Ch  s   -   -   -   -  -                     
    201 Penelope          -          M      7G  M0 7I M   2I -      -   -   -   X   s   -   -   Xk  a  -                     
    202 Chryseis          -          S      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    203 Pompeja           -          DCX:   2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    204 Kallisto          -          S      7G  S0 7I S   2I -      -   -   -   -   -   -   -   -   -  -                     
    205 Martha            -          C      2G  -  -  -   -  -      -   -   -   Ch  s   Caa Ch  Ch  a  -                     
    206 Hersilia          -          C      7   -  -  -   -  -      -   -   -   C   s   -   -   -   -  -                     
    207 Hedda             -          C      2   -  -  -   -  -      -   -   -   Ch  s   Caa Ch  -   -  -                     
    208 Lacrimosa         -          S      4G  -  -  S   2I -      -   -   -   Sk  s   -   -   -   -  -                     
    209 Dido              -          C      7G  C0 7I C?  2I -      -   -   -   Xc  s   -   -   -   -  -                     
    210 Isabella          -          CF     4   -  -  CF  2I -      -   -   -   Cb  s   -   -   Cb  a  -                     
    211 Isolda            -          C      7G  C0 7I C   2I -      -   -   -   Ch  s   -   -   -   -  -                     
    212 Medea             -          DCX:   2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    213 Lilaea            -          F      7G  B1 7I F   2I -      -   -   -   B   s   -   -   -   -  -                     
    214 Aschera           -          E      7G  E0 7I E   2G -      -   -   -   Xc  s   B   B   Cgh a  -                     
    215 Oenone            -          S      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    216 Kleopatra         -          M      7G  M0 7I M   2I -      -   -   -   Xe  s   -   -   Xe  a  -                     
    217 Eudora            -          X      S   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    218 Bianca            -          S      2   -  -  -   -  SpS    65  -   -   -   -   -   -   -   -  -                     
    219 Thusnelda         -          S      7G  S0 7I S   2I -      -   -   -   -   -   S   L   -   -  -                     
    220 Stephania         -          XC     S   -  -  -   -  -      -   -   -   -   -   X   Xk  -   -  -                     
    221 Eos               -          S      7G  S0 7I K   2I K      65  -   -   K   s   -   -   K   a  -                     
    222 Lucia             -          BU     7   B0 7I C?  2I -      -   -   -   -   -   -   -   -   -  -                     
    223 Rosa              -          X      4   -  -  CP  2I -      -   -   -   -   -   X   Xc  -   -  -                     
    224 Oceana            -          M      2G  -  -  -   -  -      -   -   -   -   -   X   T   -   -  -                     
    225 Henrietta         -          F      7   C0 7I C   2I -      -   -   -   -   -   -   -   -   -  -                     
    226 Weringia          -          -      -   -  -  -   -  -      -   -   -   S   s   S   Sk  S   a  -                     
    227 Philosophia       -          -      -   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    228 Agathe            -          S      7   S2 7I -   -  -      -   -   -   S   s   -   -   -   -  -                     
    229 Adelinda          -          BCU    7   C0 7I C   2I -      -   -   -   -   -   C   Cb  -   -  -                     
    230 Athamantis        -          S      7G  S0 7I S   2I -      -   -   -   Sl  s   -   -   -   -  -                     
    231 Vindobona         -          -      -   -  -  -   -  -      -   X   s   -   -   -   -   -   -  -                     
    232 Russia            -          C      7   C0 7I C   2I -      -   -   -   -   -   -   -   -   -  -                     
    233 Asterope          -          T      7   D3 7I T   2I T      65  -   -   K   s   T   T   Xk  a  -                     
    234 Barbara           -          S      7   S0 7I S   2I -      -   -   -   Ld  s   -   -   L   a  -                     
    235 Carolina          -          S      2   -  -  -   -  S      65  -   -   -   -   -   -   -   -  -                     
    236 Honoria           -          S      7G  S0 7I S   2I -      -   -   -   L   s   -   -   L   a  -                     
    237 Coelestina        -          S      2   -  -  -   -  -      -   -   -   S   s   -   -   Sr  a  -                     
    238 Hypatia           -          C      7G  C0 7I C   2I -      -   -   -   Ch  s   -   -   -   -  -                     
    239 Adrastea          -          -      -   -  -  -   -  -      -   ST  s   -   -   -   -   -   -  -                     
    240 Vanadis           -          C      7   C0 7I C   2I -      -   -   -   C   s   -   -   -   -  -                     
    241 Germania          -          CP     7G  C0 7I C   2I Cx     65  -   -   B   s   C   Cb  -   -  -                     
    242 Kriemhild         -          -      -   -  -  -   -  -      -   -   -   Xc  s   -   -   -   -  -                     
